massa
t	x	y
3.966055556E0	3.750922127E0	1.524501084E0
3.999377778E0	3.826010772E0	1.472345871E0
4.032711111E0	3.872065688E0	1.436716782E0
4.066044444E0	3.875288967E0	1.418556719E0
4.099377778E0	3.861652647E0	1.393856644E0
4.132700000E0	3.804340804E0	1.376718820E0
4.166033333E0	3.713789441E0	1.374998095E0
4.199366667E0	3.593045005E0	1.381913901E0
4.232677778E0	3.447281323E0	1.392973995E0
4.266011111E0	3.316019518E0	1.414540055E0
4.299344444E0	3.193845282E0	1.446076881E0
4.332666667E0	3.073429108E0	1.475299615E0
4.366000000E0	2.982313129E0	1.504526952E0
4.399322222E0	2.904806474E0	1.536812428E0
4.432655556E0	2.879815141E0	1.561508475E0
4.465988889E0	2.881956052E0	1.584936096E0
4.499300000E0	2.925238095E0	1.613220133E0
4.532633333E0	2.991858960E0	1.635184074E0
4.565966667E0	3.072119067E0	1.629428659E0
4.599300000E0	3.176020737E0	1.629798973E0
4.632622222E0	3.300837651E0	1.639957648E0
4.665944444E0	3.434879633E0	1.635331668E0
4.699288889E0	3.551582123E0	1.620544730E0
4.732611111E0	3.665760576E0	1.604919771E0
4.765933333E0	3.744397828E0	1.591057796E0
4.799266667E0	3.773364128E0	1.579361077E0
4.832600000E0	3.795767947E0	1.568415498E0
4.865922222E0	3.802507176E0	1.557634988E0
4.899255556E0	3.758751184E0	1.546521120E0
4.932577778E0	3.675062666E0	1.528022562E0
4.965911111E0	3.571151479E0	1.523450463E0
4.999233333E0	3.453975651E0	1.522209065E0
5.032555556E0	3.334424467E0	1.514792130E0
5.065888889E0	3.214066962E0	1.519895655E0
5.099222222E0	3.098864068E0	1.528016990E0
5.132544444E0	3.020467644E0	1.517364675E0
5.165877778E0	2.948981492E0	1.515418935E0
5.199200000E0	2.907110112E0	1.534482989E0
5.232533333E0	2.902501689E0	1.539720401E0
5.265855556E0	2.923860207E0	1.535918717E0
5.299177778E0	2.983547046E0	1.537993388E0
5.332511111E0	3.075800975E0	1.546336040E0
5.365833333E0	3.175777661E0	1.551060698E0
5.399166667E0	3.275974769E0	1.564307195E0
5.432500000E0	3.401570863E0	1.568386984E0
5.465822222E0	3.519192185E0	1.563643793E0
5.499155556E0	3.598435999E0	1.558869801E0
5.532477778E0	3.682821895E0	1.554668989E0
5.565800000E0	3.742718394E0	1.572682652E0
5.599133333E0	3.761087339E0	1.577378853E0
5.632466667E0	3.741726024E0	1.577547977E0
5.665800000E0	3.708797611E0	1.565504379E0
5.699122222E0	3.650340541E0	1.551347642E0
5.732455556E0	3.569173372E0	1.552709258E0
5.765788889E0	3.473861740E0	1.559411115E0
5.799111111E0	3.355730831E0	1.560773894E0
5.832433333E0	3.237359905E0	1.545529916E0
5.865766667E0	3.133830217E0	1.530545781E0
5.899088889E0	3.025773257E0	1.526212162E0
5.932422222E0	2.949761933E0	1.501406659E0
5.965744444E0	2.903749817E0	1.472217842E0
5.999077778E0	2.874679951E0	1.459278304E0
6.032400000E0	2.898813233E0	1.439129726E0
6.065733333E0	2.968645373E0	1.419562508E0
6.099055556E0	3.035834297E0	1.410558840E0
6.132388889E0	3.128595587E0	1.417986345E0
6.165711111E0	3.231452564E0	1.416616186E0
6.199044444E0	3.334306405E0	1.418335069E0
6.232377778E0	3.437893216E0	1.423545185E0
6.265711111E0	3.517515163E0	1.429312137E0
6.299022222E0	3.592144919E0	1.450587298E0
6.332355556E0	3.642763948E0	1.477672500E0
6.365677778E0	3.669702935E0	1.500197310E0
6.399022222E0	3.674943841E0	1.525616090E0
6.432344444E0	3.666223079E0	1.545694051E0
6.465677778E0	3.620484778E0	1.550742787E0
6.499000000E0	3.546707126E0	1.573395252E0
6.532333333E0	3.471829282E0	1.584332286E0
6.565655556E0	3.385851317E0	1.604794577E0
6.598988889E0	3.300150526E0	1.601348097E0
6.632311111E0	3.210686920E0	1.594461662E0
6.665644444E0	3.153750461E0	1.581065009E0
6.698966667E0	3.098694489E0	1.561059680E0
6.732300000E0	3.058018647E0	1.536867075E0
6.765622222E0	3.048953205E0	1.508653612E0
6.798955556E0	3.059385415E0	1.488446598E0
6.832288889E0	3.102732457E0	1.470661439E0
6.865611111E0	3.169043562E0	1.449941065E0
6.898933333E0	3.241961700E0	1.446988538E0
6.932266667E0	3.319741015E0	1.441849960E0
6.965600000E0	3.413816653E0	1.420615731E0
6.998922222E0	3.492405622E0	1.424028053E0
7.032255556E0	3.564197834E0	1.429398692E0
7.065577778E0	3.623229892E0	1.442457153E0
7.098911111E0	3.689892608E0	1.459451914E0
7.132244444E0	3.718877140E0	1.482774767E0
7.165566667E0	3.714453043E0	1.504963617E0
7.198900000E0	3.669309261E0	1.523556194E0
7.232222222E0	3.622302414E0	1.544259989E0
7.265555556E0	3.553561861E0	1.570360406E0
7.298877778E0	3.496510834E0	1.587181867E0
7.332200000E0	3.425176619E0	1.604983012E0
7.365544444E0	3.345296466E0	1.610045694E0
7.398855556E0	3.269174618E0	1.615638304E0
7.432177778E0	3.217750623E0	1.606240058E0
7.465522222E0	3.175037944E0	1.598021833E0
7.498844444E0	3.131455108E0	1.575980453E0
7.532166667E0	3.104242258E0	1.554634612E0
7.565500000E0	3.108904454E0	1.550742618E0
7.598833333E0	3.147071411E0	1.529329374E0
7.632155556E0	3.204088997E0	1.501682767E0
7.665488889E0	3.273240861E0	1.482260586E0
7.698811111E0	3.344222419E0	1.464835848E0
7.732144444E0	3.420448539E0	1.446610927E0
7.765466667E0	3.493159199E0	1.433980250E0
7.798811111E0	3.555564331E0	1.419340640E0
7.832122222E0	3.618668118E0	1.402152750E0
7.865455556E0	3.659839510E0	1.404688368E0
7.898777778E0	3.675463899E0	1.417329119E0
7.932111111E0	3.673012174E0	1.425897786E0
7.965433333E0	3.665869635E0	1.432134438E0
7.998766667E0	3.630141743E0	1.457053369E0
8.032100000E0	3.568759207E0	1.484210813E0
8.065422222E0	3.496884754E0	1.493702468E0
8.098755556E0	3.424659839E0	1.515306057E0
8.132077778E0	3.352082435E0	1.541658587E0
8.165411111E0	3.279619542E0	1.550373453E0
8.198744444E0	3.220814011E0	1.551963169E0
8.232077778E0	3.173628943E0	1.549105196E0
8.265388889E0	3.140912927E0	1.531752472E0
8.298722222E0	3.124144218E0	1.523778174E0
8.332044444E0	3.123711625E0	1.506233287E0
8.365377778E0	3.148508371E0	1.502372964E0
8.398711111E0	3.182821526E0	1.498589183E0
8.432033333E0	3.223328984E0	1.481651525E0
8.465366667E0	3.272013075E0	1.469326918E0
8.498688889E0	3.337617512E0	1.461051440E0
8.532022222E0	3.401289856E0	1.444415712E0
8.565355556E0	3.447247932E0	1.436894148E0
8.598688889E0	3.516695415E0	1.425075641E0
8.632022222E0	3.566896175E0	1.430903985E0
8.665333333E0	3.588140886E0	1.429270862E0
8.698666667E0	3.592254160E0	1.423722252E0
8.731988889E0	3.578829518E0	1.426034176E0
8.765322222E0	3.567550050E0	1.448269249E0
8.798644444E0	3.563780837E0	1.460391726E0
8.831977778E0	3.528993614E0	1.482256440E0
8.865300000E0	3.454797105E0	1.505023076E0
8.898622222E0	3.386680266E0	1.508984527E0
8.931955556E0	3.324604334E0	1.515458448E0
8.965288889E0	3.266081638E0	1.517203359E0
8.998611111E0	3.233296107E0	1.520710869E0
9.031933333E0	3.219255484E0	1.524029198E0
9.065266667E0	3.200762383E0	1.517856974E0
9.098600000E0	3.192244553E0	1.498119935E0
9.131922222E0	3.198370486E0	1.498478774E0
9.165244444E0	3.226339083E0	1.499744160E0
9.198577778E0	3.259764279E0	1.494665607E0
9.231911111E0	3.299002700E0	1.492459776E0
9.265244444E0	3.370772182E0	1.491814303E0
9.298566667E0	3.446448165E0	1.491714795E0
9.331888889E0	3.494936072E0	1.488954545E0
9.365233333E0	3.544360255E0	1.484119974E0
9.398544444E0	3.593514492E0	1.476541665E0
9.431877778E0	3.617413991E0	1.479718026E0
9.465200000E0	3.641069208E0	1.479274028E0
9.498544444E0	3.645550346E0	1.479600152E0
9.531877778E0	3.636484778E0	1.480901569E0
9.565188889E0	3.598633216E0	1.476839337E0
9.598522222E0	3.540916867E0	1.489267365E0
9.631855556E0	3.495990588E0	1.485132839E0
9.665188889E0	3.459115210E0	1.476161765E0
9.698500000E0	3.394142241E0	1.484080389E0
9.731833333E0	3.331025855E0	1.485890423E0
9.765166667E0	3.297504831E0	1.481838350E0
9.798500000E0	3.269901581E0	1.489688218E0
9.831822222E0	3.250953957E0	1.494902335E0
9.865144444E0	3.246926677E0	1.496425424E0
9.898477778E0	3.230469752E0	1.503813961E0
9.931822222E0	3.248217995E0	1.516079216E0
9.965133333E0	3.297801480E0	1.517839544E0
9.998455556E0	3.342422063E0	1.515062088E0
1.003182222E1	3.381870080E0	1.519124274E0
1.006512222E1	3.435764227E0	1.531233486E0
1.009843333E1	3.498494809E0	1.534110915E0
1.013176667E1	3.552473193E0	1.543056927E0
1.016510000E1	3.595344238E0	1.535694503E0
1.019843333E1	3.611861352E0	1.529689214E0
1.023175556E1	3.620373831E0	1.538513798E0
1.026508889E1	3.621864957E0	1.539862471E0
1.029842222E1	3.621965371E0	1.530818257E0
1.033174444E1	3.599091063E0	1.529646436E0
1.036507778E1	3.553494346E0	1.525858826E0
1.039840000E1	3.499825542E0	1.505601182E0
1.043172222E1	3.446849877E0	1.487707116E0
1.046505556E1	3.400997743E0	1.489784897E0
1.049837778E1	3.361474952E0	1.490455989E0
1.053171111E1	3.323780525E0	1.492804799E0
1.056504444E1	3.275639260E0	1.489896347E0
1.059836667E1	3.249263479E0	1.478905240E0
1.063170000E1	3.247359586E0	1.475695895E0
1.066503333E1	3.248035393E0	1.473749734E0
1.069835556E1	3.248300691E0	1.478177719E0
1.073168889E1	3.268908257E0	1.472952688E0
1.076501111E1	3.300149682E0	1.471834754E0
1.079834444E1	3.344744935E0	1.491802948E0
1.083166667E1	3.379053529E0	1.512311492E0
1.086500000E1	3.434568836E0	1.513657016E0
1.089832222E1	3.490431406E0	1.513901554E0
1.093164444E1	3.523271893E0	1.532429561E0
1.096497778E1	3.548149411E0	1.533686453E0
1.099831111E1	3.575910997E0	1.532244697E0
1.103163333E1	3.588686427E0	1.537593109E0
1.106496667E1	3.596628893E0	1.548455169E0
1.109828889E1	3.594971154E0	1.537818678E0
1.113162222E1	3.548386041E0	1.531197241E0
1.116494444E1	3.510831399E0	1.535968111E0
1.119827778E1	3.475134272E0	1.530051128E0
1.123160000E1	3.447436174E0	1.513788518E0
1.126493333E1	3.397753791E0	1.515051639E0
1.129825556E1	3.324585260E0	1.499788512E0
1.133157778E1	3.273419466E0	1.492243062E0
1.136493333E1	3.256801793E0	1.493822241E0
1.139825556E1	3.240970271E0	1.471274853E0
1.143157778E1	3.220704931E0	1.465664419E0
1.146490000E1	3.215421482E0	1.466532967E0
1.149823333E1	3.241112276E0	1.455546989E0
1.153155556E1	3.276233924E0	1.468771079E0
1.156488889E1	3.319441878E0	1.468008138E0
1.159821111E1	3.359560420E0	1.489433060E0
1.163153333E1	3.402303167E0	1.512855398E0
1.166486667E1	3.458707714E0	1.511702948E0
1.169820000E1	3.493811388E0	1.522124401E0
1.173152222E1	3.522046793E0	1.523961038E0
1.176485556E1	3.554978930E0	1.531389921E0
1.179818889E1	3.585054535E0	1.552988841E0
1.183150000E1	3.596959671E0	1.563077397E0
1.186483333E1	3.587135215E0	1.577745645E0
1.189816667E1	3.574428335E0	1.580813346E0
1.193148889E1	3.548069395E0	1.586076269E0
1.196482222E1	3.507998923E0	1.594822085E0
1.199814444E1	3.478033442E0	1.583284633E0
1.203147778E1	3.435330637E0	1.584782009E0
1.206482222E1	3.400413596E0	1.570550166E0
1.209813333E1	3.365113723E0	1.561017764E0
1.213145556E1	3.341443223E0	1.563570044E0
1.216480000E1	3.328124387E0	1.548787798E0
1.219812222E1	3.315213694E0	1.539588786E0
1.223145556E1	3.329210025E0	1.541746337E0
1.226477778E1	3.354482423E0	1.537466429E0
1.229811111E1	3.375905541E0	1.532750515E0
1.233143333E1	3.402630200E0	1.536103755E0
1.236475556E1	3.447733109E0	1.518583295E0
1.239807778E1	3.492867611E0	1.517668347E0
1.243142222E1	3.526672181E0	1.535208366E0
1.246474444E1	3.552311317E0	1.532988118E0
1.249807778E1	3.580644075E0	1.531568213E0
1.253140000E1	3.601651489E0	1.546042280E0
1.256473333E1	3.631047198E0	1.551369215E0
1.259805556E1	3.649422310E0	1.550638556E0
1.263138889E1	3.647115433E0	1.555344176E0
1.266472222E1	3.647874076E0	1.568220826E0
1.269805556E1	3.639096123E0	1.577727598E0
1.273137778E1	3.623986060E0	1.581015864E0
1.276470000E1	3.583274071E0	1.576293556E0
1.279803333E1	3.527022071E0	1.564177098E0
1.283135556E1	3.466540110E0	1.554732243E0
1.286468889E1	3.428427998E0	1.556670136E0
1.289803333E1	3.399353071E0	1.549423149E0
1.293134444E1	3.375128886E0	1.545745315E0
1.296466667E1	3.358164803E0	1.542139615E0
1.299800000E1	3.348395531E0	1.520536831E0
1.303132222E1	3.350554422E0	1.524394914E0
1.306465556E1	3.398903191E0	1.531012924E0
1.309797778E1	3.457714892E0	1.532930311E0
1.313130000E1	3.476376240E0	1.533915791E0
1.316463333E1	3.500489977E0	1.550375005E0
1.319796667E1	3.561557210E0	1.557670103E0
1.323128889E1	3.609925141E0	1.535011324E0
1.326461111E1	3.644974655E0	1.529044303E0
1.329794444E1	3.691301471E0	1.556794389E0
1.333126667E1	3.728944972E0	1.571197771E0
1.336462222E1	3.745721576E0	1.561030936E0
1.339793333E1	3.744693705E0	1.572660923E0
1.343125556E1	3.728087722E0	1.573521159E0
1.346458889E1	3.716108902E0	1.569232616E0
1.349792222E1	3.689878073E0	1.578218323E0
1.353124444E1	3.660289695E0	1.579392351E0
1.356456667E1	3.616643473E0	1.577468861E0
1.359791111E1	3.578208775E0	1.587280404E0
1.363123333E1	3.546981505E0	1.588007404E0
1.366457778E1	3.519690282E0	1.583103842E0
1.369788889E1	3.482904593E0	1.586314744E0
1.373122222E1	3.474287799E0	1.581563211E0
1.376455556E1	3.455327387E0	1.583454293E0
1.379787778E1	3.458932733E0	1.584547056E0
1.383120000E1	3.476176443E0	1.583781905E0
1.386452222E1	3.498965634E0	1.585683903E0
1.389786667E1	3.548655702E0	1.583129266E0
1.393118889E1	3.589668530E0	1.577166871E0
1.396451111E1	3.625079689E0	1.577723850E0
1.399784444E1	3.674033005E0	1.580330271E0
1.403116667E1	3.713387511E0	1.594341077E0
1.406450000E1	3.747166299E0	1.590195745E0
1.409782222E1	3.771947180E0	1.584069063E0
1.413115556E1	3.775368156E0	1.595329317E0
1.416448889E1	3.775901316E0	1.586867465E0
1.419782222E1	3.767302027E0	1.587861080E0
1.423114444E1	3.749283467E0	1.589369738E0
1.426446667E1	3.724001789E0	1.576297200E0
1.429780000E1	3.687072173E0	1.574034746E0
1.433113333E1	3.653029410E0	1.578129354E0
1.436444444E1	3.604344990E0	1.580637812E0
1.439777778E1	3.565857454E0	1.580397332E0
1.443111111E1	3.531796950E0	1.581648383E0
